id(NEW_DATASET),author,title,coverdate,disc_name,doi,id,jcode,journal,year
http://www.jstor.org/stable/42965156,['John Freeman'],"[""George Eliot's Great Poetry""]","['19700401', '19700401']","['Language & Literature', 'Humanities']",10.2307/42965156,4c890a3b-e4e8-3c22-85a7-8eda79da008b,['cambquar'],The Cambridge Quarterly,1970
http://www.jstor.org/stable/j.ctt155j8bf.9,['Andrew Bennett'],"['Ignorance', 'Literature and agnoiology', 'Our ignorance of others:', 'Middlemarch and Great Expectations']","['20090101', '20090101']",['Language & Literature'],10.2307/j.ctt155j8bf.9,606b2505-6135-3192-8084-d1a64079bfee,,,2009
http://www.jstor.org/stable/3044863,['Margaret Anne Doody'],['George Eliot and the Eighteenth-Century Novel'],['19801201'],"['Language & Literature', 'Humanities']",10.2307/3044863,785f7a72-91c6-3746-809a-d832c285ac39,['ninecentfict'],Nineteenth-Century Fiction,1980
http://www.jstor.org/stable/2873139,['Sophia Andres'],['The Germ and the Picture in Middlemarch'],['19881201'],"['Language & Literature', 'Humanities']",10.2307/2873139,682a0b66-d9b2-305c-99dd-22cd29b16067,['elh'],ELH,1988
http://www.jstor.org/stable/3044571,['Jerome Bump'],['Seeing and Hearing in Marius the Epicurean'],['19820901'],"['Language & Literature', 'Humanities']",10.2307/3044571,49277150-9e77-3614-a053-b5dd3d486424,['ninecentfict'],Nineteenth-Century Fiction,1982
http://www.jstor.org/stable/29533514,['MARIA LAMONACA'],"['JANE\'S CROWN OF THORNS: FEMINISM AND CHRISTIANITY IN ""JANE EYRE""']",['20021001'],"['Language & Literature', 'Humanities']",10.2307/29533514,ac95a67a-7cb8-34a4-a8ff-ecedc509fefc,['studiesnovel'],Studies in the Novel,2002
http://www.jstor.org/stable/42827934,['LAURA VORACHEK'],"['""THE INSTRUMENT OF THE CENTURY"": THE PIANO AS AN ICON OF FEMALE SEXUALITY IN THE NINETEENTH CENTURY']",['20000901'],"['Language & Literature', 'Humanities']",10.2307/42827934,796371c7-1672-34e0-8e93-a3580e9fa1c1,['georelioghlstud'],George Eliot - George Henry Lewes Studies,2000
http://www.jstor.org/stable/43028240,"['Hans Ulrich Seeber', 'Sabine Poeschel']","['DOROTHEA BROOKE UND EROTISCHE KUNST IN GEORGE ELIOTS ""MIDDLEMARCH""']",['20000101'],"['Language & Literature', 'Humanities']",10.2307/43028240,6850365f-898c-3cda-90a5-0ea25f795894,['poetica'],Poetica,2000
http://www.jstor.org/stable/30030019,['Thomas Albrecht'],"['Sympathy and Telepathy: The Problem of Ethics in George Eliot\'s ""The Lifted Veil""']",['20060701'],"['Language & Literature', 'Humanities']",10.2307/30030019,5f97e839-43b0-3d35-8fd6-31da94f56373,['elh'],ELH,2006
http://www.jstor.org/stable/40549795,['DENIS DONOGHUE'],['The Not-Quite Said'],['20061001'],"['Humanities', 'Language & Literature']",10.2307/40549795,3091d1cd-23a2-37ef-8612-e354cbe377db,['salmagundi'],,2006
http://www.jstor.org/stable/25733489,['Mary Wilson Carpenter'],"['MEDICAL COSMOPOLITANISM: ""MIDDLEMARCH"", CHOLERA, AND THE PATHOLOGIES OF ENGLISH MASCULINITY']",['20100101'],"['Language & Literature', 'British Studies', 'Area Studies', 'Humanities']",10.2307/25733489,51a3900b-ed28-3637-9e19-63f6daeec224,['victlitcult'],Victorian Literature and Culture,2010
http://www.jstor.org/stable/1345484,['Robert Scholes'],['The Novel as Ethical Paradigm?'],"['19880101', '19880101']","['Language & Literature', 'Humanities']",10.2307/1345484,2785bb56-d7db-34d9-b52c-2134d6fffbd8,['noveforufict'],NOVEL: A Forum on Fiction,1988
http://www.jstor.org/stable/27708593,['Stanton Millet'],"['The Union of ""Miss Brooke"" and ""Middlemarch"": A Study of the Manuscript']",['19800101'],"['Humanities', 'Language & Literature']",10.2307/27708593,13f9b49e-f630-3fdb-8e0c-d6442b8d2bb6,['jenglgermphil'],,1980
http://www.jstor.org/stable/27708062,['George J. Worth'],,['19760701'],"['Humanities', 'Language & Literature']",10.2307/27708062,9e50dd8f-3903-3d9a-a182-fc8480e3560b,['jenglgermphil'],,1976
http://www.jstor.org/stable/3044589,"['John R. Reed', 'Jerry Herron']","[""George Eliot's Illegitimate Children""]",['19850901'],"['Language & Literature', 'Humanities']",10.2307/3044589,4090aa85-0397-3871-9e0c-17c382df2da4,['ninecentfict'],Nineteenth-Century Fiction,1985
http://www.jstor.org/stable/42827827,['ERNEST FONTANA'],"['""GENTLEMAN"" AS SIGNIFIER IN ""MIDDLEMARCH""']",['20070901'],"['Language & Literature', 'Humanities']",10.2307/42827827,ecf70fd6-51b4-312e-8523-86c4abb5529f,['georelioghlstud'],George Eliot - George Henry Lewes Studies,2007
http://www.jstor.org/stable/25459494,['Iona Heath'],['Current Controversies: Who Needs Health Care: The Well Or The Sick?'],['20050423'],"['Health Sciences', 'Medicine and Allied Health']",10.2307/25459494,8f947df7-bccf-302a-b3b4-ac7f449b4f01,['bmjbritmedj'],,2005
http://www.jstor.org/stable/439034,['Miriam Elizabeth Burstein'],"[""From Good Looks to Good Thoughts: Popular Women's History and the Invention of Modernity, ca. 1830-1870""]",['19990801'],"['Language & Literature', 'Humanities']",10.2307/439034,656bcd5c-bfac-30f2-ac76-c112f463ee6a,['modernphilology'],Modern Philology,1999
